LShoulderRoll
T,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
Angles,0.01,0.01,0.01,0.01,0.15179736674495742,0.15378905981184054,0.15569986149478465,0.1615325192755185,0.16596591515836104,0.16895851309503265,0.17338174015890423,0.17260952467605717,0.1734416534120215,0.17384786155599788,0.18077009571069558,0.19776901314096862,0.20027611388515443,0.2060160505980431,0.20908772189267277,0.20928047053445656,0.21051435133176438,0.2107618824896753,0.21129227749312585,0.21173474571150988,0.21013847326133187,0.20933425486112514,0.20996948848884744,0.21045584208071916,0.21029340821133014,0.21148786877535292,0.20891328169076898,0.20864325632808506,0.207588554007184,0.20827795688121686,0.20903944386175308,0.20980772868824202,0.20923638781762033,0.20818000241920867,0.20701976531837565,0.20587849077753675,0.20230933973509577,0.19706493293265642,0.193954978512125,0.19398506082084174,0.19249957266703524,0.19470291212370364,0.19490274677755148,0.19185825445464424,0.18157445719911508,0.1769202460791812,0.16544261901952262,0.15135620005446077,0.01,0.01,0.01,0.15080193808769526,0.01,0.01,0.01,0.01,0.15073902122339083,0.15194611543264,0.15652965648680697,0.15925421686816377,0.16295454302279808
Sensors,0.10799535363912582,0.08723804354667664,0.07221787422895432,0.06397590041160583,0.07679907977581024,0.11683724820613861,0.1329042911529541,0.14393296837806702,0.15567940473556519,0.1607426553964615,0.1672203242778778,0.16963757574558258,0.17109264433383942,0.1721823513507843,0.1745471954345703,0.18211813271045685,0.18933077156543732,0.19789591431617737,0.20374897122383118,0.20682555437088013,0.2087240070104599,0.20953966677188873,0.20983299612998962,0.21075788140296936,0.21063165366649628,0.21023032069206238,0.2100042849779129,0.21010631322860718,0.2102634161710739,0.21056275069713593,0.21046386659145355,0.20974409580230713,0.20868100225925446,0.20838500559329987,0.20852254331111908,0.20913705229759216,0.20928321778774261,0.2088107168674469,0.20826585590839386,0.20746560394763947,0.20593860745429993,0.2016872614622116,0.19778037071228027,0.19617174565792084,0.1948915719985962,0.19440999627113342,0.19458168745040894,0.19350963830947876,0.18823930621147156,0.1843070685863495,0.17843224108219147,0.16776400804519653,0.12993380427360535,0.10812290012836456,0.09754936397075653,0.10775652527809143,0.10941175371408463,0.10202893614768982,0.08709555864334106,0.06989682465791702,0.07980159670114517,0.11005526781082153,0.13549312949180603,0.1450328528881073,0.15192803740501404
No Sens,0.09988010674715042,0.08176334202289581,0.06804825365543365,0.06029267609119415,0.08981431275606155,0.12570568919181824,0.13837522268295288,0.14815686643123627,0.1581481695175171,0.16271446645259857,0.16869907081127167,0.1703508496284485,0.17165639996528625,0.17258207499980927,0.17604069411754608,0.185874342918396,0.19195765256881714,0.19984474778175354,0.20503026247024536,0.20741473138332367,0.2091536968946457,0.20983299612998962,0.21044939756393433,0.21099232137203217,0.21051329374313354,0.21001526713371277,0.20999594032764435,0.21019019186496735,0.21027061343193054,0.21078477799892426,0.2100917249917984,0.2094798982143402,0.2084188163280487,0.20835931599140167,0.20864659547805786,0.2092980146408081,0.20927198231220245,0.2086593508720398,0.20796678960323334,0.20708470046520233,0.20506758987903595,0.20057789981365204,0.19686228036880493,0.19564694166183472,0.19431748986244202,0.194480299949646,0.19471730291843414,0.193113312125206,0.18663974106311798,0.18253423273563385,0.17531472444534302,0.1638261377811432,0.11616625636816025,0.1009734719991684,0.09416323155164719,0.11808742582798004,0.10552319139242172,0.09875503927469254,0.08233793824911118,0.06535324454307556,0.09682657569646835,0.12010906636714935,0.1405418962240219,0.1484459787607193,0.15457439422607422

LElbowRoll
T,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
Angles,-0.09894065474240524,-0.10606374372809059,-0.09166874474329602,-0.08968593376936529,-0.08779531225419322,-0.15281440933953608,-0.1914721456812882,-0.1947882179494395,-0.18790819249544297,-0.18166246197274197,-0.16395341028918195,-0.1503959116936359,-0.1481540829037083,-0.13785580821331173,-0.15989729634383462,-0.12187817516508781,-0.13210484200924139,-0.07516940837034414,-0.14244283520855222,-0.12575602912072673,-0.12216973914283369,-0.12430571459844897,-0.09912268334859778,-0.09081743141109122,-0.06881925144282124,-0.06856208699695203,-0.07128707034654368,-0.07302657572923646,-0.07480113495691554,-0.07865479151875056,-0.08087820059118309,-0.08411053204925265,-0.08276045480642133,-0.13492369083482164,-0.1820951592260938,-0.198481443550802,-0.2035116649023848,-0.20479359053189097,-0.17667484348567947,-0.16827365290259091,-0.17575830936492615,-0.18066692827705724,-0.16686533345882967,-0.15051576784765633,-0.0828129128549164,-0.07944571417129215,-0.0956899233524588,-0.09901019354225345,-0.1057062919418846,-0.09246671796071569,-0.11596548286775078,-0.1454702859378611,-0.13667051038139183,-0.09998838155048931,-0.06674015789347652,-0.001491200766672292,-0.00265237634095045,-0.00648426191042709,-0.0922519663787916,-0.15296951389341537,-0.11894832871376566,-0.04848225041643701,-0.01759375696987881,-0.049020594609672764,-0.11008959264979544
Sensors,-0.2717477083206177,-0.17427800595760345,-0.12865811586380005,-0.11268090456724167,-0.10231789946556091,-0.12142007052898407,-0.1439588963985443,-0.16482435166835785,-0.17872868478298187,-0.18110713362693787,-0.17393837869167328,-0.16646693646907806,-0.15914049744606018,-0.15202824771404266,-0.15133176743984222,-0.1470126509666443,-0.13885025680065155,-0.11101639270782471,-0.11932166665792465,-0.12524467706680298,-0.12401670962572098,-0.12374918162822723,-0.12388274818658829,-0.10799849033355713,-0.0890674740076065,-0.08045290410518646,-0.07608421891927719,-0.07447538524866104,-0.07408846169710159,-0.07531437277793884,-0.07772204279899597,-0.07983096688985825,-0.0816616341471672,-0.0946449488401413,-0.12297983467578888,-0.16306652128696442,-0.17923302948474884,-0.19339540600776672,-0.1914615035057068,-0.18319933116436005,-0.1786910444498062,-0.17911911010742188,-0.17415767908096313,-0.1671535074710846,-0.1438770294189453,-0.1172754243016243,-0.10519476979970932,-0.10026342421770096,-0.10238876938819885,-0.1006125956773758,-0.10281147807836533,-0.11727233976125717,-0.13631799817085266,-0.13504421710968018,-0.12043939530849457,-0.09076747298240662,-0.053615231066942215,-0.04140840843319893,-0.06543915718793869,-0.11157748103141785,-0.12236648797988892,-0.10401079803705215,-0.060154400765895844,-0.049719229340553284,-0.06408068537712097
No Sens,-0.23174771666526794,-0.1569090187549591,-0.11979907751083374,-0.10745371878147125,-0.0984613448381424,-0.1289547085762024,-0.155362069606781,-0.17201568186283112,-0.18093176186084747,-0.18124040961265564,-0.1715419888496399,-0.16260989010334015,-0.15650375187397003,-0.14862686395645142,-0.15338748693466187,-0.14098037779331207,-0.13723136484622955,-0.1024131178855896,-0.12487074732780457,-0.1253674030303955,-0.123573437333107,-0.12388274818658829,-0.11342409253120422,-0.10387503355741501,-0.08420789986848831,-0.07759910821914673,-0.07493290305137634,-0.0741276741027832,-0.07425950467586517,-0.07611607015132904,-0.07847952097654343,-0.08085806667804718,-0.08192534744739532,-0.10431184619665146,-0.13716751337051392,-0.17156609892845154,-0.18505990505218506,-0.19613097608089447,-0.1879127025604248,-0.17961716651916504,-0.17798718810081482,-0.1794905811548233,-0.17240752279758453,-0.16316044330596924,-0.12922164797782898,-0.10819629579782486,-0.10117992013692856,-0.09996265172958374,-0.10318497568368912,-0.09865758568048477,-0.10596843808889389,-0.12403984367847443,-0.14012588560581207,-0.13095660507678986,-0.11215128749608994,-0.0736614242196083,-0.04676201939582825,-0.03717460110783577,-0.07465198636054993,-0.12329208850860596,-0.12154612690210342,-0.0906839445233345,-0.049939848482608795,-0.04955155774950981,-0.07512281835079193

